Site_code,Mean_NDVI,WY
DC 19,0.3287999927997590,2015
DC 5,0.695900022983551,2015
NA,0.722599983215332,2015
DC 6,0.6559000015258790,2015
DC 18,0.45730000734329200,2015
DC 7,0.5806999802589420,2015
DC 8,0.6000999808311460,2015
DC 15,0.5616999864578250,2015
DC 16,0.6011999845504760,2015
DC 9,0.6208000183105470,2015
DC 10,0.47440001368522600,2015
DC 14,0.49380001425743100,2015
BR 1,0.7014999985694890,2015
BR 2,0.45660001039505000,2015
BR 3,0.7131999731063840,2015
BR 4,0.6837000250816350,2015
BR 5,0.6499999761581420,2015
BR 6,0.6607000231742860,2015
BR 7,0.5584999918937680,2015
BR 9,0.6431000232696530,2015
BR 11,0.44620001316070600,2015
BR 12,0.350600004196167,2015
BAFB 1C,0.37070000171661400,2015
BAFB 2B,0.364300012588501,2015
BAFB 3C,0.3864000141620640,2015
BR 13,0.5216000080108640,2015
BR 8,0.41679999232292200,2015
DC 1,0.8396999835968020,2016
DC 2,0.7756999731063840,2016
DC 13,0.7437999844551090,2016
DC 12,0.701200008392334,2016
DC 11,0.7019000053405760,2016
DC 17,0.5491999983787540,2016
DC 3,0.7515000104904180,2016
DC 4,0.7810999751091000,2016
DC 19,0.2809999883174900,2016
DC 5,0.7045000195503240,2016
NA,0.6851000189781190,2016
DC 6,0.6840000152587890,2016
DC 18,0.4968999922275540,2016
DC 7,0.579800009727478,2016
DC 8,0.5989999771118160,2016
DC 15,0.5954999923706060,2016
DC 16,0.5985000133514400,2016
DC 9,0.659500002861023,2016
DC 10,0.4616999924182890,2016
DC 14,0.5194000005722050,2016
BR 1,0.7081999778747560,2016
BR 2,0.41100001335144000,2016
BR 3,0.7074999809265140,2016
BR 4,0.6680999994277950,2016
BR 5,0.6680999994277950,2016
BR 6,0.6786999702453610,2016
BR 7,0.5335000157356260,2016
BR 9,0.645799994468689,2016
BR 11,0.4212000072002410,2016
BR 12,0.35589998960495000,2016
BAFB 1C,0.3833000063896180,2016
BAFB 2B,0.3799999952316280,2016
BAFB 3C,0.3856000006198880,2016
BR 13,0.43950000405311600,2016
BR 8,0.44760000705719000,2016
DC 1,0.8458999991416930,2017
DC 2,0.8126000165939330,2017
DC 13,0.6718999743461610,2017
DC 12,0.8009999990463260,2017
DC 11,0.6639999747276310,2017
