Site_code,Mean_NDVI,WY
DC 10,0.5206000209,2008
DC 14,0.5232999921,2008
BR 1,0.7092999816,2008
BR 2,0.4964999855,2008
BR 3,0.7375000119,2008
BR 4,0.6893000007,2008
BR 5,0.6697999835,2008
BR 6,0.6618999839,2008
BR 7,0.5282999873,2008
BR 9,0.7157999873,2008
BR 11,0.4433000088,2008
BR 12,0.3389999866,2008
BAFB 1C,0.377700001,2008
BAFB 2B,0.3817000091,2008
BAFB 3C,0.4120999873,2008
BR 13,0.4282999933,2008
BR 8,0.3109999895,2008
DC 1,0.8421999812,2009
DC 2,0.7773000002,2009
DC 13,0.7081000209,2009
DC 12,0.7297999859,2009
DC 11,0.6891000271,2009
DC 17,0.5647000074,2009
DC 3,0.7534999847,2009
DC 4,0.7606999874,2009
DC 19,0.3910000026,2009
DC 5,0.709100008,2009
NA,0.6858999729,2009
DC 6,0.6406000257,2009
DC 18,0.5217000246,2009
DC 7,0.5430999994,2009
DC 8,0.5975999832,2009
DC 15,0.5802999735,2009
DC 16,0.6276000142,2009
DC 9,0.6859999895,2009
DC 10,0.4844000041,2009
DC 14,0.5372999907,2009
BR 1,0.7153999805,2009
BR 2,0.3673000038,2009
BR 3,0.6668999791,2009
BR 4,0.668200016,2009
BR 5,0.6510000229,2009
BR 6,0.6775000095,2009
BR 7,0.5986999869,2009
BR 9,0.7332999706,2009
BR 11,0.4792999923,2009
BR 12,0.331400007,2009
BAFB 1C,0.3885999918,2009
BAFB 2B,0.3759999871,2009
BAFB 3C,0.368900001,2009
BR 13,0.4196000099,2009
BR 8,0.3817999959,2009
DC 1,0.8464999795,2010
DC 2,0.7850000262,2010
DC 13,0.747699976,2010
DC 12,0.689800024,2010
DC 11,0.689800024,2010
DC 17,0.5903000236,2010
DC 3,0.7745000124,2010
DC 4,0.7853000164,2010
DC 19,0.2469999939,2010
DC 5,0.7161999941,2010
NA,0.7038000226,2010
DC 6,0.6613000035,2010
DC 18,0.4833000004,2010
DC 7,0.6079999804,2010
DC 8,0.6121000051,2010
DC 15,0.603399992,2010
DC 16,0.6180999875,2010
DC 9,0.6254000068,2010
DC 10,0.4726999998,2010
DC 14,0.4499000013,2010
BR 1,0.7475000024,2010
BR 2,0.469900012,2010
BR 3,0.6775000095,2010
BR 4,0.6808999777,2010
BR 5,0.7190999985,2010
BR 6,0.7089999914,2010
BR 7,0.5673999786,2010
BR 9,0.7390999794,2010
BR 11,0.4805999994,2010
BR 12,0.3580000103,2010
BAFB 1C,0.3939999938,2010
BAFB 2B,0.3458000124,2010
BAFB 3C,0.4174000025,2010
BR 13,0.4794999957,2010
BR 8,0.4406000078,2010
DC 1,0.8598999977,2011
DC 2,0.782400012,2011
DC 13,0.8191000223,2011
DC 12,0.7325999737,2011
DC 11,0.7135999799,2011
DC 17,0.6047999859,2011
DC 3,0.7637000084,2011
DC 4,0.7843999863,2011
DC 19,0.425999999,2011
DC 5,0.6822000146,2011
NA,0.7556999922,2011
DC 6,0.6998000145,2011
DC 18,0.538500011,2011
DC 7,0.6316000223,2011
DC 8,0.6291999817,2011
DC 15,0.6241999865,2011
DC 16,0.6385999918,2011
DC 9,0.6912000179,2011
DC 10,0.4959000051,2011
DC 14,0.4487999976,2011
BR 1,0.7666000128,2011
BR 2,0.4352000058,2011
BR 3,0.7192000151,2011
BR 4,0.6945000291,2011
BR 5,0.6729999781,2011
BR 6,0.6850000024,2011
BR 7,0.6414999962,2011
BR 9,0.736199975,2011
BR 11,0.429399997,2011
BR 12,0.3350000083,2011
BAFB 1C,0.396299988,2011
BAFB 2B,0.4275000095,2011
BAFB 3C,0.4305999875,2011
BR 13,0.5722000003,2011
BR 8,0.4023000002,2011
DC 1,0.8450999856,2012
DC 2,0.7858999968,2012
DC 13,0.7822999954,2012
DC 12,0.6883999705,2012
DC 11,0.6883999705,2012
DC 17,0.6021999717,2012
DC 3,0.725300014,2012
DC 4,0.7907999754,2012
DC 19,0.3075999916,2012
DC 5,0.722299993,2012
NA,0.7048000097,2012
DC 6,0.6707000136,2012
DC 18,0.5501000285,2012
DC 7,0.5904999971,2012
DC 8,0.5928000212,2012
DC 15,0.6043000221,2012
DC 16,0.605799973,2012
DC 9,0.6277999878,2012
DC 10,0.4413999915,2012
DC 14,0.415899992,2012
BR 1,0.7215999961,2012
BR 2,0.4341999888,2012
BR 3,0.7305999994,2012
BR 4,0.7591000199,2012
BR 5,0.7332999706,2012
BR 6,0.6945999861,2012
BR 7,0.564899981,2012
BR 9,0.6855999827,2012
BR 11,0.4842999876,2012
BR 12,0.3226000071,2012
BAFB 1C,0.3747000098,2012
BAFB 2B,0.3691999912,2012
BAFB 3C,0.4056999981,2012
BR 13,0.4327999949,2012
BR 8,0.4404999912,2012
DC 1,0.8716999888,2013
DC 2,0.7983999848,2013
DC 13,0.7565000057,2013
DC 12,0.7350999713,2013
DC 11,0.7350999713,2013
DC 17,0.6463000178,2013
DC 3,0.7444999814,2013
DC 4,0.7785999775,2013
DC 19,0.3343000114,2013
DC 5,0.7139999866,2013
NA,0.6723999977,2013
DC 6,0.6480000019,2013
DC 18,0.5009999871,2013
DC 7,0.6055999994,2013
DC 8,0.6359999776,2013
DC 15,0.6395999789,2013
DC 16,0.6187000275,2013
DC 9,0.6826000214,2013
DC 10,0.5507000089,2013
DC 14,0.4713000059,2013
BR 1,0.6671000123,2013
BR 2,0.3639000058,2013
BR 3,0.7264000177,2013
BR 4,0.6665999889,2013
BR 5,0.7042000294,2013
BR 6,0.7070000172,2013
BR 7,0.6377999783,2013
BR 9,0.6879000068,2013
BR 11,0.5849000216,2013
BR 12,0.3610999882,2013
BAFB 1C,0.3116999865,2013
BAFB 2B,0.3984000087,2013
BAFB 3C,0.3768999875,2013
BR 13,0.5245000124,2013
BR 8,0.4616000056,2013
DC 1,0.8535000086,2014
DC 2,0.7940000296,2014
DC 13,0.8131999969,2014
DC 12,0.7387999892,2014
DC 11,0.7286000252,2014
DC 17,0.6872000098,2014
DC 3,0.7416999936,2014
DC 4,0.7853999734,2014
DC 19,0.2858999968,2014
DC 5,0.7163000107,2014
NA,0.6919999719,2014
DC 6,0.6389999986,2014
DC 18,0.4986000061,2014
DC 7,0.5252000093,2014
DC 8,0.5832999945,2014
DC 15,0.5982000232,2014
DC 16,0.5964000225,2014
DC 9,0.6011999846,2014
DC 10,0.4896999896,2014
DC 14,0.4397999942,2014
BR 1,0.6830000281,2014
BR 2,0.5167000294,2014
BR 3,0.7150999904,2014
BR 4,0.7235999703,2014
BR 5,0.7077000141,2014
BR 6,0.6725999713,2014
BR 7,0.5731999874,2014
BR 9,0.7002000213,2014
BR 11,0.4661999941,2014
BR 12,0.3436000049,2014
BAFB 1C,0.3725999892,2014
BAFB 2B,0.3711999953,2014
BAFB 3C,0.3826999962,2014
BR 13,0.548600018,2014
