"","Day","tavg_cM","Month","Site_code","cmd_cM","tmin_cM","Date","Year","ppt_cM","tmax_cM"
"118","1",20.3,10,"DC 15",89,11.7,2003-10-01,2003,8,28.8
"119","1",9.5,11,"DC 15",0,3.8,2003-11-01,2003,102,15.2
"120","1",8.1,12,"DC 15",0,3.8,2003-12-01,2003,306,12.4
"121","1",11.1,1,"DC 16",0,6.3,2003-01-01,2003,88,15.9
"122","1",9.8,2,"DC 16",0,3.9,2003-02-01,2003,64,15.6
"123","1",12.7,3,"DC 16",0,6.4,2003-03-01,2003,103,19
"124","1",10.5,4,"DC 16",0,5.3,2003-04-01,2003,152,15.6
"125","1",17.9,5,"DC 16",102,10.5,2003-05-01,2003,46,25.3
"126","1",23.4,6,"DC 16",187,14.8,2003-06-01,2003,1,32.1
"127","1",28.2,7,"DC 16",218,19,2003-07-01,2003,0,37.5
"128","1",24.5,8,"DC 16",158,16.1,2003-08-01,2003,13,32.8
"129","1",24.6,9,"DC 16",137,16,2003-09-01,2003,2,33.2
"130","1",20.6,10,"DC 16",90,12.1,2003-10-01,2003,7,29.1
"131","1",9.7,11,"DC 16",0,4.3,2003-11-01,2003,90,15.2
"132","1",8.2,12,"DC 16",0,4.3,2003-12-01,2003,269,12.1
"133","1",4.8,1,"DC 1",0,-0.3,2004-01-01,2004,159,9.9
"134","1",4.8,2,"DC 1",0,0,2004-02-01,2004,364,9.7
"135","1",12,3,"DC 1",31,4.7,2004-03-01,2004,54,19.2
"136","1",12.2,4,"DC 1",78,5,2004-04-01,2004,26,19.4
"137","1",14.5,5,"DC 1",114,6.7,2004-05-01,2004,23,22.2
"138","1",19.3,6,"DC 1",165,10.8,2004-06-01,2004,3,27.8
"139","1",22.6,7,"DC 1",185,13.8,2004-07-01,2004,1,31.3
"140","1",22.2,8,"DC 1",165,13.4,2004-08-01,2004,1,31
"141","1",19.2,9,"DC 1",109,10.3,2004-09-01,2004,14,28.1
"142","1",12.5,10,"DC 1",0,5.6,2004-10-01,2004,212,19.4
"143","1",7.6,11,"DC 1",0,1.7,2004-11-01,2004,113,13.5
"144","1",6.2,12,"DC 1",0,1.1,2004-12-01,2004,325,11.2
"145","1",6.2,1,"DC 2",0,0.7,2004-01-01,2004,154,11.6
"146","1",6.3,2,"DC 2",0,1.1,2004-02-01,2004,357,11.6
"147","1",13.3,3,"DC 2",39,5.9,2004-03-01,2004,51,20.7
"148","1",13.5,4,"DC 2",84,6.2,2004-04-01,2004,25,20.7
"149","1",15.8,5,"DC 2",123,8,2004-05-01,2004,19,23.5
"150","1",20.6,6,"DC 2",171,12.1,2004-06-01,2004,2,29.1
"151","1",24,7,"DC 2",191,15.3,2004-07-01,2004,1,32.7
"152","1",23.6,8,"DC 2",170,14.9,2004-08-01,2004,1,32.4
"153","1",20.6,9,"DC 2",114,11.7,2004-09-01,2004,13,29.4
